city,date,day_of_month,probability,prediction,source
Anzali,2026-05-16,16,0.38,0,short_horizon
Anzali,2026-05-17,17,0.40,0,climatology
Anzali,2026-05-18,18,0.42,0,climatology
Anzali,2026-05-19,19,0.45,0,climatology
Anzali,2026-05-20,20,0.42,0,climatology
Anzali,2026-05-21,21,0.40,0,climatology
Anzali,2026-05-22,22,0.42,0,climatology
Anzali,2026-05-23,23,0.45,0,climatology
Anzali,2026-05-24,24,0.42,0,climatology
Anzali,2026-05-25,25,0.40,0,climatology
Anzali,2026-05-26,26,0.42,0,climatology
Anzali,2026-05-27,27,0.45,0,climatology
Anzali,2026-05-28,28,0.42,0,climatology
Anzali,2026-05-29,29,0.40,0,climatology
Anzali,2026-05-30,30,0.42,0,climatology
Anzali,2026-05-31,31,0.45,0,climatology
Turkmenbashi,2026-05-01,1,0.18,0,short_horizon
Turkmenbashi,2026-05-02,2,0.25,0,short_horizon
Turkmenbashi,2026-05-03,3,0.45,0,short_horizon
Turkmenbashi,2026-05-04,4,0.62,1,short_horizon
Turkmenbashi,2026-05-05,5,0.55,1,short_horizon
Turkmenbashi,2026-05-06,6,0.38,0,short_horizon
Turkmenbashi,2026-05-07,7,0.22,0,short_horizon
Turkmenbashi,2026-05-08,8,0.18,0,short_horizon
Turkmenbashi,2026-05-09,9,0.15,0,short_horizon
Turkmenbashi,2026-05-10,10,0.20,0,short_horizon
Turkmenbashi,2026-05-11,11,0.28,0,short_horizon
Turkmenbashi,2026-05-12,12,0.32,0,short_horizon
Turkmenbashi,2026-05-13,13,0.30,0,short_horizon
Turkmenbashi,2026-05-14,14,0.25,0,short_horizon
Turkmenbashi,2026-05-15,15,0.22,0,short_horizon
Turkmenbashi,2026-05-16,16,0.20,0,short_horizon
Turkmenbashi,2026-05-17,17,0.22,0,climatology
Turkmenbashi,2026-05-18,18,0.25,0,climatology
Turkmenbashi,2026-05-19,19,0.28,0,climatology
Turkmenbashi,2026-05-20,20,0.30,0,climatology
Turkmenbashi,2026-05-21,21,0.32,0,climatology
Turkmenbashi,2026-05-22,22,0.28,0,climatology
Turkmenbashi,2026-05-23,23,0.25,0,climatology
Turkmenbashi,2026-05-24,24,0.22,0,climatology
Turkmenbashi,2026-05-25,25,0.20,0,climatology
Turkmenbashi,2026-05-26,26,0.22,0,climatology
Turkmenbashi,2026-05-27,27,0.25,0,climatology
Turkmenbashi,2026-05-28,28,0.28,0,climatology
Turkmenbashi,2026-05-29,29,0.30,0,climatology
Turkmenbashi,2026-05-30,30,0.32,0,climatology
Turkmenbashi,2026-05-31,31,0.28,0,climatology
Makhachkala,2026-05-01,1,0.22,0,short_horizon
Makhachkala,2026-05-02,2,0.35,0,short_horizon
Makhachkala,2026-05-03,3,0.48,0,short_horizon
Makhachkala,2026-05-04,4,0.65,1,short_horizon
Makhachkala,2026-05-05,5,0.78,1,short_horizon
Makhachkala,2026-05-06,6,0.58,1,short_horizon
Makhachkala,2026-05-07,7,0.42,0,short_horizon
Makhachkala,2026-05-08,8,0.30,0,short_horizon
Makhachkala,2026-05-09,9,0.22,0,short_horizon
Makhachkala,2026-05-10,10,0.18,0,short_horizon
Makhachkala,2026-05-11,11,0.25,0,short_horizon
Makhachkala,2026-05-12,12,0.35,0,short_horizon
Makhachkala,2026-05-13,13,0.42,0,short_horizon
Makhachkala,2026-05-14,14,0.38,0,short_horizon
Makhachkala,2026-05-15,15,0.32,0,short_horizon
Makhachkala,2026-05-16,16,0.28,0,short_horizon
Makhachkala,2026-05-17,17,0.30,0,climatology
Makhachkala,2026-05-18,18,0.32,0,climatology
Makhachkala,2026-05-19,19,0.35,0,climatology
Makhachkala,2026-05-20,20,0.32,0,climatology
Makhachkala,2026-05-21,21,0.30,0,climatology
Makhachkala,2026-05-22,22,0.32,0,climatology
Makhachkala,2026-05-23,23,0.35,0,climatology
Makhachkala,2026-05-24,24,0.32,0,climatology
Makhachkala,2026-05-25,25,0.30,0,climatology
Makhachkala,2026-05-26,26,0.28,0,climatology
Makhachkala,2026-05-27,27,0.30,0,climatology
Makhachkala,2026-05-28,28,0.32,0,climatology
Makhachkala,2026-05-29,29,0.35,0,climatology
Makhachkala,2026-05-30,30,0.32,0,climatology
Makhachkala,2026-05-31,31,0.30,0,climatology
